AD-005	YER068W
AT1G03060	YOL149W
AT1G05055	YER171W
AT1G16890	YGL087C
AT1G27310	YLR293C
AT1G27970	YLR293C
AT1G78870	YGL087C
AT3G01090	YGL115W
AT3G19210	YER095W
AT3G29160	YGL115W
AT4G16360	YDR477W
AT5G21170	YDR477W
AT5G44740	YBR088C
C1_00930C_A	YHL020C
C4_05760W_A	YPL228W
CELE_R151.6	YBR021W
CELE_R151.6	YJL002C
CGI-145	YMR077C
F25D7.1	YBR021W
F25D7.1	YJL002C
HIV1gp6	YDR192C
HIV1gp6	YGR119C
KL04P	YDR176W
LA16c-358B7.1	YGR140W
LA16c-358B7.1	YMR168C
OK/SW-cl.81	YOL021C
PF10_0311	YER133W
Q0085	YCR106W
Q0120	YLR382C
RP1-130E4.1	YDR176W
RP1-199J3.1	YDR443C
RP1-50O24.5	YHR143W-A
RP1-50O24.5	YIL021W
RP11-186N15.4	YER025W
RP11-269C23.2	YDR383C
RP11-269C23.2	YML008C
RP11-27I1.5	YKL145W
RP24-189I2.1	YOL149W
SPBC29A3.16	YKL172W
SPBC29A3.16	YKR081C
YAL002W	YDL077C
YAL002W	YKR014C
YAL002W	YLR148W
YAL002W	YMR231W
YAL002W	YOR089C
YAL012W	YAL012W
YAL014C	YJR125C
YAL016W	YNL127W
YAL017W	YDR443C
YAL019W	YOL090W
YAL020C	YBL071W-A
YAL020C	YKR048C
YAL021C	YCR093W
YAL021C	YDR443C
YAL021C	YFL028C
YAL021C	YGR092W
YAL021C	YJL112W
YAL021C	YKR036C
YAL021C	YMR124W
YAL021C	YMR181C
YAL021C	YNR052C
YAL024C	YHR158C
YAL025C	YHR088W
YAL025C	YKL014C
YAL025C	YLR276C
YAL025C	YNL002C
YAL025C	YOR206W
YAL026C	YCR094W
YAL026C	YDR497C
YAL026C	YJL153C
YAL026C	YJL204C
YAL026C	YKL212W
YAL026C	YML072C
YAL026C	YNL321W
YAL027W	YLR135W
YAL027W	YPL022W
YAL029C	YBR130C
YAL030W	YJL036W
YAL030W	YPL232W
YAL032C	DAAP-182E11.3
YAL032C	PP2243
YAL032C	RP11-291O7.2
YAL032C	RP11-307C12.9
YAL032C	RP11-395P17.5
YAL032C	RP11-94L15.2
YAL032C	RSD9
YAL032C	YBL084C
YAL032C	YBL105C
YAL032C	YBR114W
YAL032C	YDL001W
YAL032C	YDL116W
YAL032C	YDR176W
YAL032C	YDR416W
YAL032C	YDR448W
YAL032C	YDR532C
YAL032C	YER032W
YAL032C	YGL026C
YAL032C	YGR061C
YAL032C	YGR071C
YAL032C	YGR270W
YAL032C	YHR161C
YAL032C	YIL068C
YAL032C	YJL103C
YAL032C	YJL112W
YAL032C	YJL149W
YAL032C	YJR005W
YAL032C	YJR061W
YAL032C	YKR054C
YAL032C	YLR024C
YAL032C	YLR117C
YAL032C	YLR187W
YAL032C	YLR320W
YAL032C	YLR345W
YAL032C	YLR386W
YAL032C	YLR423C
YAL032C	YLR424W
YAL032C	YML103C
YAL032C	YMR031C
YAL032C	YMR176W
YAL032C	YMR190C
YAL032C	YNL078W
YAL032C	YNL229C
YAL032C	YNL243W
YAL032C	YNL246W
YAL032C	YNL271C
YAL032C	YNR059W
YAL032C	YOR023C
YAL032C	YOR156C
YAL032C	YPL151C
YAL032C	YPR023C
YAL032C	YPR189W
YAL032C	hCG_1997849
YAL032C	tcag7.1178
YAL033W	YBL018C
YAL033W	YBR257W
YAL033W	YHR062C
YAL034W-A	YBR211C
YAL034W-A	YGL172W
YAL034W-A	YGR120C
YAL034W-A	YGR179C
YAL034W-A	YIL150C
